id_pedido,id_cliente,data_pedido,canal,valor_bruto,desconto,categoria,subcategoria,prazo_estimado_dias,prazo_real_dias,avaliacao
95,224,2024-04-03,App,4609.8,80.58,Esporte,Bola,7,7,5
96,477,2024-01-28,Web,2982.71,108.43,Esporte,Tênis,5,4,4
97,42,2025-01-18,Web,4447.0,521.23,Eletrônicos,TV,4,5,3
98,333,2024-12-09,App,313.82,58.85,Beleza,Creme,4,4,4
99,242,2024-05-22,App,3310.44,0.0,Eletrônicos,Smartphone,7,6,3
100,10,2024-09-19,Web,183.16,14.95,Livros,Educação,3,2,4
101,398,2024-10-22,Web,423.09,75.66,Beleza,Shampoo,1,1,5
102,407,2025-09-29,Web,168.51,11.03,Livros,Não-ficção,5,4,3
103,9,2025-06-11,Web,3176.04,55.2,Beleza,Creme,4,3,4
104,293,2025-03-02,Web,1386.3,160.09,Livros,Educação,5,5,5
105,260,2025-06-03,Web,51.94,5.92,Livros,Ficção,5,4,5
106,199,2025-01-17,Web,5952.51,0.0,Eletrônicos,Fone de Ouvido,7,2,3
107,376,2024-04-16,App,1188.24,135.42,Beleza,Protetor Solar,1,1,5
108,417,2024-06-28,App,1128.9,22.67,Livros,Cafeteira,4,3,5
109,398,2025-04-13,Web,932.42,46.74,Casa & Cozinha,Aspirador,10,9,5
110,162,2024-11-13,Web,7956.53,1584.58,Livros,Notebook,3,2,4
111,444,2024-12-05,Web,7936.1,1845.92,Esporte,Bicicleta,3,4,3
112,198,2024-12-13,App,120.92,22.72,Livros,Não-ficção,5,6,5
113,409,2025-06-15,Web,106.62,12.08,Esporte,Bicicleta,7,6,4
114,309,2024-07-03,Web,4605.76,87.0,Eletrônicos,Tablet,8,9,4
115,152,2024-11-09,Web,3583.01,449.36,Casa & Cozinha,Bicicleta,4,4,5
116,446,2024-12-27,App,4932.38,999.99,Eletrônicos,Fone de Ouvido,7,6,5
117,327,2025-02-19,Web,7021.04,564.16,Casa & Cozinha,Panela,4,4,4
118,65,2024-03-09,Web,6735.36,1005.84,Esporte,Camiseta,3,3,4
119,79,2025-04-05,App,7204.82,826.21,Eletrônicos,Tablet,3,2,5
120,272,2025-01-10,Web,7152.43,1264.09,Beleza,Shampoo,4,3,3
121,266,2025-01-31,App,215.4,0.84,Beleza,Perfume,6,6,4
122,110,2025-09-18,Web,1333.23,168.79,Casa & Cozinha,Aspirador,11,10,4
123,366,2025-03-31,App,4013.38,353.18,Beleza,Maquiagem,5,3,5
124,81,2024-06-27,App,2220.81,122.72,Casa & Cozinha,Liquidificador,5,4,4
125,406,2024-05-22,Web,1203.17,98.23,Esporte,Tênis,3,3,4
126,189,2025-04-23,App,10328.51,1704.99,Eletrônicos,Tablet,1,1,4
127,369,2025-05-05,Web,7817.11,265.05,Livros,Tablet,1,1,4
128,38,2025-04-05,Web,2211.74,197.47,Casa & Cozinha,Liquidificador,6,5,4
129,400,2025-07-18,App,1237.7,149.23,Casa & Cozinha,Liquidificador,2,1,5
130,467,2024-02-26,App,37.38,0.12,Beleza,Creme,3,3,5
131,166,2024-08-18,Web,14064.21,963.83,Beleza,Creme,3,2,3
132,321,2024-11-06,App,385.92,79.07,Casa & Cozinha,Cafeteira,4,4,4
133,298,2024-06-06,Web,151.82,13.86,Beleza,Protetor Solar,3,3,5
134,42,2024-02-16,App,513.52,28.44,Beleza,Aspirador,4,3,4
135,328,2024-02-01,Web,684.38,37.54,Beleza,Creme,4,3,4
136,351,2025-02-19,Web,3716.55,135.56,Eletrônicos,Fone de Ouvido,10,9,4
137,213,2025-05-10,Web,1419.19,148.99,Casa & Cozinha,Panela,7,7,5
138,368,2024-11-22,App,4415.21,945.15,Esporte,Garrafa,6,7,5
139,63,2024-09-30,Web,2896.43,387.1,Eletrônicos,Fone de Ouvido,12,12,4
140,197,2025-09-22,Web,1771.98,198.57,Beleza,Maquiagem,8,7,5
141,451,2024-11-11,Web,665.11,185.98,Esporte,Camiseta,3,4,3
142,495,2024-09-03,Web,2896.43,232.31,Eletrônicos,Fone de Ouvido,7,5,4
143,306,2025-04-26,Web,4300.38,73.86,Eletrônicos,TV,7,6,4
144,452,2024-09-27,App,4157.61,366.89,Eletrônicos,Notebook,2,2,3
145,100,2025-01-06,Web,127.68,29.04,Livros,Não-ficção,5,6,4
146,282,2024-10-13,App,4466.32,581.86,Casa & Cozinha,Liquidificador,2,1,4
147,407,2024-12-13,Web,1419.19,267.89,Casa & Cozinha,Panela,14,13,5
148,261,2025-02-15,Web,759.67,67.03,Casa & Cozinha,Liquidificador,4,5,4
149,412,2025-04-30,Web,97.34,10.49,Livros,Não-ficção,1,1,5
150,477,2025-09-19,Web,579.77,58.7,Beleza,Creme,2,1,5
151,260,2025-06-05,Web,1271.04,14.13,Beleza,Creme,2,2,4
152,345,2024-04-22,App,6091.79,917.68,Livros,Notebook,5,2,4
153,498,2025-08-15,Web,212.56,0.0,Livros,Infantil,3,4,5
154,318,2025-01-24,Web,7300.37,249.35,Livros,Notebook,2,1,4
155,10,2025-03-27,Web,834.84,102.62,Casa & Cozinha,Aspirador,5,1,4
156,397,2025-09-18,App,8251.6,344.51,Casa & Cozinha,Educação,12,13,5
157,270,2025-01-20,Web,188.63,18.6,Livros,Educação,3,1,4
158,182,2024-09-27,App,250.22,37.91,Beleza,Shampoo,4,4,4
159,153,2024-08-18,App,2325.15,329.87,Beleza,Maquiagem,3,4,5
160,148,2024-05-04,Web,5280.04,434.09,Esporte,Camiseta,6,4,5
161,489,2024-05-29,Web,4605.76,0.0,Eletrônicos,Tablet,6,4,3
162,227,2024-09-19,App,47.22,2.32,Livros,Educação,6,5,4
163,288,2024-10-05,Web,1180.15,82.52,Beleza,Shampoo,3,4,5
164,116,2024-08-26,Web,49.67,5.0,Livros,Ficção,4,4,4
165,395,2024-05-20,Web,3611.62,542.35,Casa & Cozinha,Garrafa,8,7,4
166,244,2025-05-03,App,995.09,90.45,Beleza,Maquiagem,5,6,5
167,394,2024-04-01,App,5624.52,159.59,Eletrônicos,Notebook,6,4,5
168,90,2025-03-03,App,21811.44,645.56,Eletrônicos,Notebook,2,1,5
169,204,2025-05-22,Web,2929.14,101.38,Beleza,Creme,7,9,4
170,55,2024-12-09,Web,1111.05,138.96,Livros,Educação,3,2,3
171,84,2025-04-14,App,2145.76,235.74,Beleza,Protetor Solar,2,1,5
172,388,2024-07-16,Web,908.34,97.06,Esporte,Bicicleta,8,7,4
173,72,2025-05-03,Web,215.4,6.37,Beleza,Perfume,1,1,4
174,229,2024-09-30,App,49.87,4.16,Livros,Infantil,1,3,4
175,335,2025-01-03,App,1120.15,108.38,Casa & Cozinha,Liquidificador,6,5,5
176,82,2025-02-19,App,3369.79,132.89,Beleza,Maquiagem,4,7,3
177,245,2024-06-05,Web,3981.66,310.71,Livros,Garrafa,2,1,4
178,349,2025-09-02,App,2225.65,255.05,Esporte,Bola,10,8,5
179,186,2024-03-20,App,330.3,59.66,Livros,HQ,5,7,5
180,104,2025-08-09,Web,129.84,7.19,Livros,Educação,1,1,4
181,349,2024-07-29,App,85.2,9.48,Livros,Não-ficção,4,3,4
182,29,2025-04-09,Web,48.43,6.71,Livros,Infantil,4,2,5
183,237,2024-11-11,App,2050.37,472.76,Eletrônicos,Smartphone,9,9,3
184,297,2024-03-15,Web,627.14,61.88,Eletrônicos,Fone de Ouvido,3,5,4
185,31,2024-03-11,App,156.91,24.75,Beleza,Creme,5,4,5
186,394,2024-05-18,App,11948.16,769.14,Esporte,Camiseta,1,3,5
187,339,2025-07-06,Web,2171.57,123.15,Casa & Cozinha,Educação,5,2,4
188,428,2024-01-04,App,753.52,70.13,Livros,Educação,3,3,4
189,97,2024-04-25,Web,1484.89,185.27,Beleza,Shampoo,2,5,4
190,18,2025-04-02,Web,6136.55,454.07,Beleza,Shampoo,3,1,4
191,120,2025-07-06,Web,18067.8,1285.73,Casa & Cozinha,Não-ficção,1,1,4
192,295,2024-11-22,Web,556.36,129.41,Beleza,Maquiagem,1,1,3
193,339,2025-06-17,Web,7382.57,422.24,Eletrônicos,Fone de Ouvido,5,4,5
194,303,2024-06-28,App,106.58,6.5,Livros,Não-ficção,1,1,4
195,177,2025-01-25,App,1552.8,138.5,Esporte,Garrafa,14,11,4
196,154,2025-01-20,Web,161.72,12.74,Beleza,Shampoo,1,1,4
197,154,2024-05-27,App,1907.47,318.44,Esporte,Garrafa,5,6,4
198,105,2024-12-04,App,3651.0,804.3,Livros,Educação,5,8,4
199,345,2025-09-11,App,2078.19,161.17,Casa & Cozinha,Filtro de Água,1,1,3
200,490,2024-01-16,Web,1120.15,147.63,Casa & Cozinha,Liquidificador,5,6,5
201,387,2025-05-05,App,1958.39,132.84,Casa & Cozinha,Camiseta,5,7,3
202,398,2024-10-16,Web,119.73,25.65,Esporte,Tênis,2,2,5
203,185,2025-06-09,App,51.94,4.72,Livros,Ficção,1,1,4
204,164,2024-07-27,Web,96.86,5.66,Livros,Infantil,3,4,4
205,380,2024-05-29,Web,230.47,32.47,Livros,Infantil,1,1,4
206,101,2024-12-03,Web,657.29,133.7,Beleza,Não-ficção,5,3,4
207,173,2024-09-20,App,126.75,4.83,Livros,Ficção,1,1,5
208,376,2024-12-26,Web,825.32,176.99,Livros,Cafeteira,2,1,4
209,329,2024-03-01,Web,20040.87,664.85,Eletrônicos,Tablet,2,1,5
210,363,2024-06-03,Web,2982.71,207.93,Esporte,Tênis,5,3,4
211,327,2025-09-23,App,5695.22,345.98,Eletrônicos,Smartphone,6,3,5
212,9,2025-06-26,App,156.91,14.29,Beleza,Creme,4,5,4
213,417,2025-03-16,App,10071.98,661.0,Eletrônicos,TV,5,1,4
214,418,2024-12-28,Web,8948.13,1210.91,Esporte,Tênis,3,2,4
215,236,2025-08-01,Web,7855.67,418.18,Beleza,Creme,4,5,4
216,389,2024-02-02,Web,56.88,4.87,Livros,HQ,1,1,5
217,327,2024-01-10,App,2365.8,104.23,Esporte,Bicicleta,8,8,5
218,170,2025-08-02,App,7761.21,53.47,Casa & Cozinha,Filtro de Água,2,4,3
219,474,2024-03-17,App,49.84,6.17,Livros,HQ,5,6,3
220,17,2024-07-02,App,1076.85,43.11,Casa & Cozinha,Aspirador,3,2,5
221,386,2025-02-11,App,48.43,4.66,Livros,Infantil,1,1,4
222,428,2025-02-02,App,2534.0,203.97,Esporte,Camiseta,12,12,5
223,72,2024-03-21,Web,17074.6,555.85,Eletrônicos,Bicicleta,10,9,4
224,204,2024-11-30,Web,2304.9,521.36,Esporte,Bola,4,3,5
225,183,2025-07-20,App,82.63,8.07,Livros,Infantil,1,1,3
226,44,2025-09-25,Web,7696.35,0.0,Eletrônicos,Tablet,1,1,5
227,79,2025-01-24,App,2032.59,291.04,Beleza,Maquiagem,2,4,4
228,483,2024-11-11,Web,6729.54,1500.46,Casa & Cozinha,TV,7,6,4
229,286,2025-07-22,Web,1012.05,157.7,Eletrônicos,Tablet,6,4,4
230,48,2025-09-03,Web,426.75,46.56,Esporte,Camiseta,5,5,5
231,212,2025-02-01,App,435.21,46.93,Beleza,Shampoo,1,1,5
232,195,2024-06-22,Web,131.53,13.37,Livros,Não-ficção,1,1,4
233,86,2025-03-21,Web,7204.82,29.05,Eletrônicos,Tablet,1,1,4
234,484,2024-09-09,App,92.41,9.53,Casa & Cozinha,Aspirador,3,1,5
235,70,2024-11-07,Web,2150.68,332.3,Esporte,Camiseta,6,4,4
236,169,2025-03-26,Web,2293.62,189.6,Beleza,Maquiagem,7,6,4
237,91,2025-02-11,App,380.25,42.02,Livros,Ficção,3,2,3
238,401,2024-09-05,Web,665.11,91.25,Esporte,Camiseta,7,7,3
239,478,2025-07-31,Web,9172.15,601.44,Casa & Cozinha,Notebook,3,4,5
240,36,2025-02-22,App,37.38,1.72,Beleza,Creme,3,3,4
241,338,2024-06-06,App,25090.09,107.3,Eletrônicos,Tablet,5,5,5
242,206,2025-07-01,Web,16481.29,2496.47,Livros,Notebook,5,4,4
243,275,2025-08-31,App,136.09,16.16,Beleza,Shampoo,5,4,5
244,182,2024-06-19,App,8784.15,1214.24,Esporte,Garrafa,8,7,5
245,170,2025-03-16,Web,658.6,0.0,Casa & Cozinha,Filtro de Água,6,5,5
246,266,2025-07-25,Web,5208.36,236.42,Esporte,Bola,9,8,4
247,302,2025-05-27,Web,8081.1,360.86,Beleza,Creme,5,8,4
248,179,2024-11-15,Web,183.68,43.05,Livros,Educação,3,1,4
249,370,2025-04-08,Web,7016.34,153.73,Eletrônicos,TV,4,4,4
250,176,2024-04-21,App,378.53,26.03,Beleza,Shampoo,1,1,4
251,283,2024-06-12,Web,1324.63,96.74,Esporte,Bola,8,7,4
252,208,2024-07-07,Web,6185.4,469.62,Eletrônicos,Camiseta,4,5,4
253,231,2025-08-29,Web,758.53,0.0,Casa & Cozinha,Filtro de Água,10,9,4
254,386,2024-03-05,Web,1144.24,145.0,Livros,Educação,2,2,4
255,59,2024-09-25,App,248.44,25.24,Beleza,Maquiagem,4,4,3
256,313,2025-02-05,Web,1825.55,90.36,Esporte,Bola,8,6,2
257,417,2024-10-31,App,945.15,26.53,Beleza,Maquiagem,1,1,4
258,94,2025-01-17,App,1890.49,218.76,Esporte,Garrafa,5,4,3
259,295,2025-01-27,Web,47.22,2.86,Livros,Educação,3,2,4
260,331,2024-06-26,Web,1073.08,24.8,Casa & Cozinha,Liquidificador,7,7,3
261,432,2025-04-06,App,9138.36,60.87,Livros,Smartphone,1,1,5
262,335,2025-05-21,Web,2163.15,300.93,Esporte,Bicicleta,7,6,4
263,43,2025-08-01,Web,3920.54,488.69,Beleza,Creme,7,7,3
264,87,2025-04-13,Web,173.13,29.14,Livros,Não-ficção,1,1,4
265,138,2025-07-10,App,6002.78,535.8,Eletrônicos,Notebook,6,8,4
266,226,2025-07-13,Web,250.22,10.96,Beleza,Shampoo,5,3,5
267,17,2025-04-05,Web,5361.85,746.23,Casa & Cozinha,Tablet,2,3,4
268,302,2024-12-25,App,4308.19,1169.17,Casa & Cozinha,Bicicleta,8,7,4
269,417,2024-07-30,App,713.66,106.0,Beleza,Educação,5,6,4
270,361,2024-10-26,Web,292.02,0.0,Livros,Não-ficção,2,2,4
271,348,2024-04-07,Web,8126.04,129.83,Eletrônicos,Garrafa,5,5,5
272,65,2024-05-15,Web,915.33,162.52,Beleza,Camiseta,2,1,4
273,138,2025-02-28,Web,3298.03,235.35,Eletrônicos,Tablet,7,4,5
274,384,2024-10-11,App,1395.67,128.74,Beleza,Maquiagem,4,4,5
275,48,2025-04-14,App,1217.03,43.75,Livros,Educação,1,2,5
276,423,2024-08-04,Web,208.61,3.7,Beleza,Creme,1,1,5
277,296,2024-05-13,Web,181.38,12.55,Beleza,Protetor Solar,2,2,4
278,391,2024-02-19,Web,3235.94,136.26,Eletrônicos,Bola,5,5,4
279,226,2025-04-12,Web,4030.16,148.77,Casa & Cozinha,Creme,6,7,3
280,43,2025-01-15,App,6443.67,323.76,Eletrônicos,Camiseta,4,2,4
281,387,2024-08-27,Web,301.42,43.36,Eletrônicos,TV,6,5,4
282,245,2024-03-20,Web,2163.15,296.55,Esporte,Bicicleta,3,2,4
283,357,2024-12-17,App,7785.22,1829.85,Casa & Cozinha,Bicicleta,9,9,5
284,189,2024-11-02,Web,2115.9,533.15,Casa & Cozinha,Liquidificador,4,1,4
285,313,2024-06-17,Web,1565.65,121.03,Casa & Cozinha,Garrafa,3,1,5
286,112,2024-03-29,App,95.22,18.47,Casa & Cozinha,Liquidificador,7,6,4
287,197,2024-12-25,App,1073.08,134.56,Casa & Cozinha,Liquidificador,8,9,5
288,331,2024-03-27,Web,6397.96,923.39,Beleza,Creme,2,3,3
289,155,2024-07-29,Web,1571.25,165.2,Esporte,Camiseta,11,10,4
290,28,2024-09-02,Web,168.51,21.99,Livros,Não-ficção,5,3,5
291,37,2025-06-24,App,2406.34,274.19,Esporte,Tênis,5,5,4
292,68,2025-01-31,App,952.89,92.35,Livros,HQ,2,1,4
293,489,2024-03-15,Web,342.11,7.64,Beleza,Perfume,1,1,5
294,473,2024-03-02,App,156.91,3.78,Beleza,Creme,7,5,5
295,257,2025-03-01,Web,103.51,7.88,Livros,Educação,1,1,5
296,79,2024-10-11,Web,2504.52,155.08,Casa & Cozinha,Aspirador,2,2,5
297,80,2025-07-03,Web,3614.08,327.54,Beleza,Maquiagem,6,6,5
298,434,2024-09-01,Web,2365.8,95.61,Esporte,Bicicleta,5,5,4
299,314,2025-09-15,Web,1961.23,350.33,Casa & Cozinha,Liquidificador,1,1,4
300,6,2024-06-16,Web,102.47,3.94,Livros,Educação,5,6,4
301,370,2024-09-22,Web,266.79,27.16,Beleza,Perfume,1,1,5
302,61,2024-01-31,Web,183.13,13.89,Livros,Educação,1,1,5
303,365,2025-08-13,App,85.2,4.47,Livros,Não-ficção,2,1,5
304,256,2025-08-03,Web,12312.26,92.7,Eletrônicos,TV,5,6,5
305,346,2024-04-28,Web,5736.48,586.33,Eletrônicos,Notebook,8,7,5
306,7,2024-09-07,Web,507.17,55.2,Casa & Cozinha,Panela,1,1,4
307,492,2024-02-06,Web,3671.89,320.47,Beleza,Maquiagem,2,1,4
308,423,2024-03-20,Web,3803.65,348.98,Eletrônicos,Fone de Ouvido,1,1,3
309,412,2025-06-12,App,4707.65,346.56,Beleza,Maquiagem,2,1,4
310,289,2024-11-07,App,1003.95,190.2,Esporte,Tênis,3,2,5
311,253,2024-07-19,App,320.27,28.13,Beleza,Shampoo,6,10,3
312,478,2025-02-23,Web,23285.61,2818.68,Eletrônicos,Smartphone,1,1,4
313,1,2025-01-20,App,6637.51,913.85,Casa & Cozinha,Aspirador,10,6,4
314,252,2024-03-02,App,525.03,55.32,Beleza,Perfume,2,3,4
315,472,2024-08-25,App,1970.09,206.49,Esporte,Tênis,4,2,5
316,383,2024-03-27,Web,665.11,9.57,Esporte,Camiseta,7,7,3
317,291,2024-03-04,Web,898.09,86.35,Beleza,Maquiagem,3,1,5
318,232,2024-10-05,Web,5602.52,896.17,Casa & Cozinha,Infantil,9,10,4
319,209,2024-05-03,Web,2529.59,364.2,Esporte,Bola,1,1,4
320,424,2025-09-09,Web,1867.94,72.07,Beleza,Maquiagem,1,1,3
321,26,2024-11-02,Web,5534.64,941.46,Esporte,Notebook,12,13,3
322,72,2024-05-04,Web,2838.0,264.44,Casa & Cozinha,Filtro de Água,13,11,4
323,331,2024-03-27,Web,4117.12,319.28,Eletrônicos,Tablet,4,3,5
324,34,2024-07-21,App,1105.87,186.82,Casa & Cozinha,Liquidificador,7,7,4
325,434,2024-12-05,Web,3332.22,511.25,Casa & Cozinha,Infantil,1,1,4
326,196,2025-03-12,Web,1040.73,71.4,Casa & Cozinha,Cafeteira,8,4,5
327,229,2024-06-01,Web,1446.73,107.56,Beleza,Creme,1,1,5
328,246,2024-03-03,Web,1890.49,0.0,Esporte,Garrafa,5,3,5
329,453,2025-06-22,Web,2645.98,241.36,Esporte,Camiseta,8,10,3
330,165,2025-02-01,Web,446.23,54.14,Casa & Cozinha,Filtro de Água,4,2,3
331,416,2024-10-14,Web,1792.34,333.8,Livros,Educação,5,4,4
332,418,2024-02-27,App,5093.48,431.45,Esporte,Camiseta,3,2,5
333,122,2025-08-29,Web,1892.42,369.37,Eletrônicos,Notebook,1,1,5
334,291,2025-07-31,Web,587.3,36.3,Livros,Maquiagem,2,2,5
335,309,2024-08-12,Web,502.64,59.87,Beleza,Protetor Solar,2,2,3
336,104,2024-05-13,Web,232.55,20.78,Beleza,Maquiagem,6,6,3
337,76,2025-08-23,App,2236.92,312.58,Eletrônicos,TV,7,7,3
338,441,2025-01-08,App,2640.02,0.0,Esporte,Camiseta,9,9,3
339,173,2024-11-05,Web,4356.59,914.11,Beleza,Maquiagem,2,5,2
340,183,2024-08-16,App,1044.28,23.13,Beleza,Maquiagem,3,1,3
341,486,2025-08-09,Web,12331.04,1145.96,Beleza,Maquiagem,4,3,5
342,480,2025-05-23,Web,486.52,42.37,Beleza,Protetor Solar,1,2,5
343,454,2024-03-31,App,2250.04,139.5,Beleza,Protetor Solar,2,2,5
344,355,2024-03-10,Web,11054.43,1312.95,Eletrônicos,Smartphone,7,5,5
